ui_msaa_tooltip|平 滑 实 体 对 象 的 锯 齿 边 缘\n\n性 能 消 耗 ：<c=0xFF0000>高</c>
ui_atoc_tooltip|平 滑 半 透 明 对 象 的 锯 齿 边 缘\n\n性 能 消 耗 ：<c=0x00FF00>低</c>
ui_fxaa_tooltip|平 滑 锯 齿 边 缘 ， 会 明 显 模 糊 画 面\n\n性 能 消 耗 ：<c=0xFFAA00>中</c>
ui_anisotropic_filtering_tooltip|减 少 远 处 表 面 的 模 糊\n\n性 能 消 耗 ：<c=0xFFAA00>中</c>
ui_sound_occlusion_tooltip|模 拟 封 闭 环 境 中 的 声 音 感 知 效 果 ， 即 声 源 或 听 者 附 近 有 障 碍 物 的 情 况\n\n性 能 消 耗 ：<c=0xFF0000>高</c>
ui_show_render_stats_wse2_tooltip|显 示 每 帧 渲 染 计 数 ： 绘 制 调 用 、 可 见 对 象 、 CPU 和 GPU 蒙 皮 、 阴 影 和 线 程 耗 时 \n\n性 能 消 耗 ：<c=0x00FF00>低</c>
ui_show_simulation_stats_wse2_tooltip|显 示 一 个 模 拟 步 骤 的 耗 时 去 向 ： 物 理 、 单 位 、 AI 、 触 发 器 、 场 景 、 网 络 和 脚 本 调 用 \n\n性 能 消 耗 ：<c=0x00FF00>低</c>
ui_update_wse2_version|请 更 新 您 的 WSE2版 本 ， 否 则 您 将 被 踢 出 此 服 务 器 。 
ui_server_for_wse2_campaign|此 服 务 器 用 于 WSE2在 线 战 役 ， 请 启 动 WSE2 并 选 择 "加 入 战 役" 。 
ui_server_for_standart_game_modes|此 服 务 器 用 于 标 准 游 戏 模 式 ， 请 选 择 " 加 入 游 戏 " 。 
ui_enable_cheats_wse2|启 用 作 弊 
ui_enable_edit_mode_wse2|启 用 编 辑 模 式 （ 警 告 ： 会 降 低 游 戏 速 度 。 ） 
ui_language_wse2|语 言 ： 
ui_ondemand_textures_wse2|按 需 加 载 纹 理 
ui_map_editor|地 图 编 辑 器 
ui_terrain_editor|地 形 编 辑 器 
ui_debug|调 试 
ui_restore_module_data|恢 复 模 组 数 据 
ui_reload_ui_variables|重 新 加 载 UI 变 量 
ui_set_lod_quality|设 置 LOD质 量 
ui_auto|自 动 
ui_freeze|冻 结 
ui_create_language_template|创 建 语 言 模 板 
ui_mark_nontranslated_lines|标 记 未 翻 译 的 行 
ui_create_language_template_required_game|请 在 使 用 此 功 能 之 前 创 建 新 游 戏 或 恢 复 游 戏 ！ 
ui_create_language_template_generated|语 言 模 板 文 件 已 生 成 至 new_language 目 录 ！ 
ui_create_language_template_generated_marked|语 言 模 板 文 件 已 生 成 至 new_language 目 录 ！ 未 翻 译 的 文 本 以 {***}标 记 。 您 可 以 使 用 它 作 为 搜 索 关 键 词 。 
ui_join_campaign|加 入 战 役 
ui_custom_key_1|
ui_custom_key_2|
ui_custom_key_3|
ui_custom_key_4|
ui_custom_key_5|
ui_custom_key_6|
ui_custom_key_7|
ui_custom_key_8|
ui_custom_key_9|
ui_custom_key_10|
ui_custom_key_11|
ui_custom_key_12|
ui_custom_key_13|
ui_custom_key_14|
ui_custom_key_15|
ui_custom_key_16|
ui_custom_key_17|
ui_custom_key_18|
ui_custom_key_19|
ui_custom_key_20|
