ui_first_person_field_of_view|Pole widzenia (1. osoba)
ui_anisotropic_filtering_tooltip|Zmniejsza rozmycie na odległych powierzchniach\n\nKoszt wydajności: <c=0xFFAA00>Średni</c>
ui_sound_occlusion_tooltip|Imituje sposób, w jaki dźwięki są odbierane w zamkniętych przestrzeniach, czyli gdy bariery znajdują się blisko źródła dźwięku lub słuchacza\n\nKoszt wydajności: <c=0xFF0000>Wysoki</c>
ui_update_wse2_version|Proszę zaktualizować wersję WSE2, w przeciwnym razie zostaniesz wyrzucony z tego serwera.
ui_server_for_wse2_campaign|Ten serwer jest przeznaczony do kampanii online na WSE2. Uruchom WSE2 i wybierz „Dołącz do kampanii".
ui_server_for_standart_game_modes|Ten serwer jest przeznaczony do standardowych trybów gry, wybierz „Dołącz do gry".
ui_enable_cheats_wse2|Włącz kody
ui_enable_edit_mode_wse2|Włącz tryb edycji (Uwaga: spowalnia grę.)
ui_language_wse2|Język:
ui_ondemand_textures_wse2|Ładuj tekstury na żądanie
ui_map_editor|Edytor map
ui_terrain_editor|Edytor terenu
ui_debug|Debug
ui_restore_module_data|Przywróć dane modułu
ui_reload_ui_variables|Przeładuj zmienne UI
ui_set_lod_quality|Ustaw jakość LOD
ui_auto|Automatycznie
ui_freeze|Zamroź
ui_create_language_template|Utwórz szablon języka
ui_mark_nontranslated_lines|Oznacz nieprzetłumaczone linie
ui_create_language_template_required_game|Utwórz nową grę lub przywróć grę przed użyciem tej funkcji!
ui_create_language_template_generated|Pliki szablonu języka wygenerowane w katalogu new_language!
ui_create_language_template_generated_marked|Pliki szablonu języka wygenerowane w katalogu new_language! Nieprzetłumaczone teksty oznaczone są znakiem {***}. Możesz użyć tego jako słowa kluczowego wyszukiwania.
ui_join_campaign|Dołącz do kampanii
ui_custom_key_1|
ui_custom_key_2|
ui_custom_key_3|
ui_custom_key_4|
ui_custom_key_5|
ui_custom_key_6|
ui_custom_key_7|
ui_custom_key_8|
ui_custom_key_9|
ui_custom_key_10|
ui_custom_key_11|
ui_custom_key_12|
ui_custom_key_13|
ui_custom_key_14|
ui_custom_key_15|
ui_custom_key_16|
ui_custom_key_17|
ui_custom_key_18|
ui_custom_key_19|
ui_custom_key_20|
